Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
59,2016,20,Telangana,Nalgonda,137.55,474.87,3452.32,0,0,1250,1.07,0.46,432.46,0.01,0.01,1250,1.07,0.47,438.55,1.1,0.64,584.7,0.48,1.27,2630.17,-1,-1,-1,-1,-1,-1,0.16,0.2,1297.47,18.74,12.44,664.02,6.12,2.8,457.8,7.62,11.15,1463.11,0.1,0.08,806.12,-1,-1,-1,-1,-1,-1,0.26,0.06,242.42,-1,-1,-1,0.11,0.2,1794.64,0.12,0.14,1162.39,-1,-1,-1,0.54,4.08,7575.47,203.08,60.21,296.47,30.01,6.3,36.31,-1,-1,0.27
59,2017,20,Telangana,Nalgonda,160.74,477.88,2973.12,-1,-1,-1,0.24,0.23,942.86,0.03,0.04,1346.15,0.27,0.27,981.55,0.14,0.1,725.93,0.11,0.5,4754.72,-1,-1,-1,-1,-1,-1,0.1,0.15,1515.15,9,4.42,491.05,1.83,1.01,553.91,5.33,10.29,1932.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1000,-1,-1,-1,0,0.01,2250,-1,-1,-1,-1,-1,-1,0.29,2.16,7441.38,233.52,89.51,383.29,26.64,3.66,30.3,-1,-1,0.17
60,2015,20,Telangana,Warangal,181.07,572.94,3164.19,0,0,0,0.03,0.02,666.67,1.36,0.79,580.88,1.39,0.81,582.73,0.01,0.01,1000,74.84,361.67,4832.58,0,0,0,0,0,0,0.59,0.68,1152.54,7.23,4.7,650.07,21.91,24.51,1118.97,19.67,34.9,1774.28,2.36,0.07,29.66,0,0,0,0,0,0,0.35,0.08,228.57,0,0,0,0.01,0.02,2000,0.21,0.22,1037.74,22.61,35.29,1560.81,0,0.01,7000,251.02,115.49,460.08,14.68,5.98,20.65,-1,0.31,0.1
60,2016,20,Telangana,Warangal,56.85,209.75,3689.5,-1,-1,-1,-1,-1,-1,0.07,0.08,1196.97,0.07,0.08,1196.97,-1,-1,-1,37.38,261.64,6999.49,-1,-1,-1,-1,-1,-1,0.19,0.24,1301.08,1.89,1.05,556.03,1.42,1.14,801.97,7.04,22.97,3264.64,0.13,0.06,496.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2000,0.22,0.25,1166.67,-1,-1,-1,-1,-1,-1,60.18,32.82,545.29,4.43,4,8.43,-1,0.14,0
60,2017,20,Telangana,Warangal,54,147.27,2727.3,-1,-1,-1,-1,-1,-1,0.09,0.12,1347.83,0.09,0.12,1347.83,-1,-1,-1,34.79,268.42,7716.27,-1,-1,-1,-1,-1,-1,0.93,1.41,1515.61,0.71,0.57,798.04,1.17,0.93,798.63,6.95,22.81,3281.03,0.02,0.01,476.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,2000,0.02,0.04,1636.36,-1,-1,-1,0,0.01,7450,73.14,22.38,306,5.26,4.34,9.61,-1,0.26,0
61,2015,20,Telangana,Khammam,121.72,369.34,3034.34,0,0,0,0,0,0,0.24,0.19,791.67,0.24,0.19,791.67,0,0,0,20.63,102.1,4949.1,0,0,0,0,0,0,0.01,0,0,2.86,1.65,576.92,13.29,10.47,787.48,5.43,14.68,2703.5,0.45,0.13,288.89,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.1,1250,0,0,0,9.71,94.85,9768.28,5.42,44.44,8198.95,154.99,83.52,538.87,28.97,3.49,32.46,-1,0.01,0.19
61,2016,20,Telangana,Khammam,68.73,260.45,3789.23,-1,-1,-1,-1,-1,-1,0.23,0.27,1189.43,0.23,0.27,1189.43,0,0,1000,13,72.57,5580.79,-1,-1,-1,-1,-1,-1,0.04,0.06,1295.45,4.59,2.04,445,20.01,10.02,500.67,2.79,4.44,1590.11,0.22,0.15,690.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04,0.07,1794.87,0.02,0.02,1142.86,-1,-1,-1,5.75,33.21,5776.49,83.02,50.54,608.82,18.47,2.27,20.74,-1,0,0.26
61,2017,20,Telangana,Khammam,107.34,346.36,3226.9,-1,-1,-1,0.01,0.01,900,0.21,0.28,1350.96,0.22,0.29,1330.28,-1,-1,-1,28.6,182.94,6396.61,-1,-1,-1,-1,-1,-1,0.02,0.03,1529.41,3.32,2.76,831.93,11.57,6.21,536.16,1.83,3.89,2125.68,0.15,0.08,566.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.04,2111.11,0.01,0.02,1636.36,-1,-1,-1,4.39,32.95,7499.5,97.8,70.11,716.82,16.55,2.08,18.64,-1,0,0.25
62,2015,20,Telangana,Karimnagar,170.4,553.96,3250.94,0,0,0,0,0,0,0.05,0.1,2000,0.05,0.1,2000,1.04,0.97,932.69,84.95,376.32,4429.9,0,0,0,0,0,0,1.44,2.03,1409.72,3.46,1.35,390.17,9.77,8.04,823.05,5.79,8.45,1459.41,3.33,1,300.3,0.8,1.24,1550,0,0,0,0.1,0.04,400,0,0,0,0.52,0.71,1365.38,9.33,11.92,1277.98,19.87,23.36,1175.64,0.75,5.88,7868.68,201.24,98.69,490.41,23.01,5.93,28.94,-1,0.52,0
62,2016,20,Telangana,Karimnagar,94.98,387.49,4079.69,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,34.88,220.3,6316.37,-1,-1,-1,-1,-1,-1,0.27,0.35,1298.89,1.33,1.25,938.91,1.06,0.78,742.42,2.33,5.62,2410.98,0.01,0,625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.22,1906.78,-1,-1,-1,-1,-1,-1,47.54,27.38,576,3.44,2.42,5.86,-1,0.04,0
